Service_Component_WBS_aff,Urgency,KM_number,Count_Related_Interactions,Count_Related_Incidents,Count_Related_Changes,SLAFail,Open_Time_HourOfDay,Open_Time_DayOfWeek,CI_TypeSubType_aff
-0.5902516777377536,4 Low,-1.9440802376080673,1.0,0.0,0.0,0,7,Tuesday,-0.8505689998283629
0.6356285909573313,5 Very Low,0.6367465340586724,1.0,0.0,0.0,1,8,Tuesday,0.6266734479236352
0.5509202253491521,5 Very Low,1.2586662053302502,1.0,0.0,0.0,1,8,Tuesday,-0.1196683570004699
-0.7809294278023862,5 Very Low,0.0,1.0,0.0,0.0,0,8,Tuesday,-0.1196683570004699
0.7358221836160597,5 Very Low,-0.30351882225330473,1.0,0.0,0.0,0,8,Tuesday,0.8422119756464904
0.42575708239514604,3 Medium,0.4012159734790283,3.0,0.0,0.0,0,8,Tuesday,-0.1196683570004699
-0.4017447794680634,4 Low,-1.9873382869262033,1.0,0.0,0.0,0,9,Tuesday,0.011633911543867037
0.7347529468088916,3 Medium,-0.04758544811610422,1.0,0.0,0.0,0,9,Tuesday,0.8066810815871928
0.0800112089886039,4 Low,-1.0927090518332276,1.0,0.0,0.0,0,9,Tuesday,-0.1196683570004699
0.24706529365177016,4 Low,0.7731583895485492,1.0,0.0,0.0,0,8,Tuesday,-0.1196683570004699
0.13758106081008176,4 Low,-0.66092663540769,1.0,0.0,0.0,1,8,Tuesday,-0.1196683570004699
-1.331872662331621,3 Medium,-1.6649992806653782,1.0,0.0,0.0,1,8,Tuesday,-0.1196683570004699
-0.453955943339081,3 Medium,-0.18010609303825745,1.0,0.0,0.0,0,8,Tuesday,-0.30994971258359516
-0.5902516777377536,4 Low,-0.24541119144602394,1.0,0.0,0.0,1,7,Tuesday,-0.8505689998283629
-0.5902516777377536,4 Low,-0.24541119144602394,1.0,0.0,0.0,1,8,Tuesday,-0.8505689998283629
0.7347529468088916,3 Medium,1.209876041160818,1.0,0.0,0.0,1,8,Tuesday,0.8066810815871928
-0.03248919420335241,3 Medium,-0.22131363986696342,1.0,0.0,0.0,0,8,Tuesday,0.011633911543867037
-0.6310736722580087,5 Very Low,-0.4817999695102545,1.0,0.0,1.0,0,8,Tuesday,-0.3217841702305981
0.7358221836160597,4 Low,0.20657393229703314,1.0,0.0,0.0,0,8,Tuesday,0.2546372434939169
